"Specimen_No","Site_No","Site","Element","p_immature","p_female","p_male"
194,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.14,0.78,0.08
195,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.8,0.2
196,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0.97,0.03,0
197,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0.97,0.03,0
198,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0.96,0.04,0
199,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0.94,0.06,0
200,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.93,0.07
201,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.98,0.02
202,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.91,0.09
203,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.98,0.02
204,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.68,0.32
205,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.97,0.03
206,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.92,0.08
207,2,"Ilipinar 1 (Late Neolithic/Transitional)","Ast",0.09,0.66,0.25
208,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0.97,0.03,0
209,4,"Ilipinar 2 (Early Chalcolithic)","Rad_dist",0,0.95,0.05
210,4,"Ilipinar 2 (Early Chalcolithic)","Tib_dist",0,0.89,0.11
211,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.93,0.07
212,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_prox",0.11,0.73,0.16
213,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH1",0,0.59,0.41
214,2,"Ilipinar 1 (Late Neolithic/Transitional)","Cal",0,0.86,0.14
215,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_dist",0,0.91,0.09
216,4,"Ilipinar 2 (Early Chalcolithic)","Mtc_dist",0,0.99,0.01
217,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.06,0.91,0.02
218,4,"Ilipinar 2 (Early Chalcolithic)","Rad_prox",0.1,0.9,0.01
219,4,"Ilipinar 2 (Early Chalcolithic)","Fem_dist",0,0.97,0.03
220,4,"Ilipinar 2 (Early Chalcolithic)","Fem_prox",0,0.01,0.99
221,2,"Ilipinar 1 (Late Neolithic/Transitional)","Hum",0.08,0.58,0.34
222,4,"Ilipinar 2 (Early Chalcolithic)","Cal",0.16,0.18,0.67
223,4,"Ilipinar 2 (Early Chalcolithic)","PH1",0,0.98,0.02
224,4,"Ilipinar 2 (Early Chalcolithic)","PH2",0,0.99,0.01
225,2,"Ilipinar 1 (Late Neolithic/Transitional)","Fem_dist",0,0.99,0.01
226,2,"Ilipinar 1 (Late Neolithic/Transitional)","Rad_dist",0,0.89,0.11
227,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0.78,0.22,0.01
228,2,"Ilipinar 1 (Late Neolithic/Transitional)","Tib_dist",0,0.97,0.03
229,2,"Ilipinar 1 (Late Neolithic/Transitional)","Mtt_prox",0.17,0.8,0.03
230,2,"Ilipinar 1 (Late Neolithic/Transitional)","PH2",0,0.92,0.08
231,4,"Ilipinar 2 (Early Chalcolithic)","Sca",0.1,0.9,0.01
232,2,"Ilipinar 1 (Late Neolithic/Transitional)","Sca",0.2,0.8,0.01
