"Element_Portion","Element","ID","Specimen_No","i.Element_Portion","Immature","Site","Taxon","Anatomy","Proximal Fusion","Distal Fusion"
4,"Mtc_prox","Barcin Bone 3019",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
5,"Mtt_dist","Barcin Bone 3020",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","","Distal epiphysis unfused"
6,"Mtt_prox","Barcin Bone 3021",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
4,"Mtc_prox","Barcin Bone 3022",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
7,"PH1","Barcin Bone 3047",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
6,"Mtt_prox","Barcin Bone 3052",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
7,"PH1","Barcin Bone 3053",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","",""
8,"PH2","Barcin Bone 3054",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
4,"Mtc_prox","Barcin Bone 3073",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","fused metacarpal bones 3 and 4; metacarpal bone of digit 3; metacarpal bone of digit 4; metacarpal bone of digit 5","",""
11,"Tib_dist","Barcin Bone 3074",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
11,"Tib_dist","Barcin Bone 3105",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","tibia","",""
7,"PH1","Barcin Bone 3106",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 3107",34,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 3108",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
11,"Tib_dist","Barcin Bone 3156",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
14,"Hum","Barcin Bone 3165",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","humerus","","Distal epiphysis unfused"
9,"Rad_dist","Barcin Bone 3166",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","","Distal epiphysis unfused"
15,"Pel","Barcin Bone 3203",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
16,"Sca","Barcin Bone 3204",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","",""
2,"Cal","Barcin Bone 3221",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","",""
15,"Pel","Barcin Bone 3231",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","innominate bone","",""
10,"Rad_prox","Barcin Bone 3233",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","radius bone","Proximal epiphysis fused",""
7,"PH1","Barcin Bone 3234",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis fused",""
8,"PH2","Barcin Bone 3237",36,8,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","Proximal epiphysis unfused",""
7,"PH1","Barcin Bone 3241",37,7,1,"Barcin","Bos taurus Linnaeus, 1758","proximal phalanx","Proximal epiphysis unfused",""
16,"Sca","Barcin Bone 3242",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","","Distal epiphysis fused"
14,"Hum","Barcin Bone 3243",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","humerus","Proximal epiphysis fused",""
6,"Mtt_prox","Barcin Bone 3245",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
16,"Sca","Barcin Bone 3285",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","scapula","","Distal epiphysis fused"
11,"Tib_dist","Barcin Bone 3286",NA,NA,0,"Barcin","Bos taurus Linnaeus, 1758","tibia","","Distal epiphysis fused"
6,"Mtt_prox","Barcin Bone 3287",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
8,"PH2","Barcin Bone 3288",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
8,"PH2","Barcin Bone 3289",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","middle phalanx","",""
6,"Mtt_prox","Barcin Bone 3290",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","metatarsal bone of digit 5; metatarsal bone of digit 2; fused metatarsal bones 3 and 4","",""
2,"Cal","Barcin Bone 3297",NA,NA,1,"Barcin","Bos taurus Linnaeus, 1758","calcaneus","",""
